Train,Validation
1.834675272102551,1.6941508786244825
1.6933075238371749,1.701725347475572
1.6911017440469063,1.688990909944881
1.6834011715086525,1.681074554269964
1.6796060541401738,1.6713664612986825
1.6787026416310264,1.6799174899404699
1.6772789022196894,1.6736499179493298
1.674993471111483,1.6789888604120775
1.675137174708764,1.7008179615844379
1.6782060995736086,1.6650273637338118
1.6694368386207639,1.68121260675517
1.664522872861389,1.6472479403018951
1.6521265802480984,1.6079960275780072
1.6310150830642036,1.6059999574314465
1.6400235437066353,1.5889677865938707
1.6105788702245258,1.5632898970083757
1.5815418867199011,1.5851292528889396
1.5723007237514877,1.567194331776012
1.5617552699945163,1.5470858026634564
1.5503513069104051,1.4887054562568665
1.5367186752426656,1.5877356800166043
1.5463882233480664,1.5213678695938804
1.5248605177530548,1.5327623730356044
1.5327191060156469,1.4846564585512334
1.532828829172627,1.547021215612238
1.5309057860728115,1.498230441050096
1.5569351027383829,1.5126976560462604
1.5232799330635753,1.4739318896423688
1.515255843891817,1.470819665627046
1.5038947095651456,1.4967877106233076
1.4972542350554405,1.5061446076089686
1.5035757408727466,1.462835669517517
1.4932344804334519,1.4883237454024227
1.506043492070854,1.453133593906056
1.4894938539056217,1.4573178941553289
1.4847646747403742,1.467052554542368
1.4778618657070657,1.4663835655559192
1.4971654448667755,1.492168822071769
1.4948573036267019,1.4369969909841365
1.494416532004276,1.461991917003285
1.4828903242145353,1.4669125459410928
1.487918141247976,1.4910188913345337
1.4780421128968144,1.454335088079626
1.4842640252979211,1.4358745325695386
1.478819492832779,1.459607717665759
1.4776356644032862,1.5174752988598563
1.4977086364765606,1.4870822131633759
1.4882467911981256,1.46310662410476
1.4896125900166115,1.4528638341210105
1.4837579541194164,1.4600652239539407
1.4847831421191124,1.4512470960617065
1.4723728940919842,1.492847960103642
1.4901617670912877,1.4836140708489851
1.480465785316799,1.4760669063438068
1.4984474834578727,1.4580553146925839
