Train,Validation
2.7755301675528212,2.6395651264624163
2.6747938385400016,2.6149473840540107
2.6657316465207073,2.6090881445191125
2.666439124690297,2.60673189163208
2.650281877468919,2.5974091941660102
2.6540886447252823,2.5908629569140347
2.641608308343326,2.5887461467222734
2.6453840293542807,2.5964391285722908
2.648782788030327,2.5924268527464434
2.650441174616899,2.5895423618229954
2.6385760770734312,2.582277027043429
2.643315611592949,2.5825124274600637
2.642249770176685,2.596610968763178
2.6358825715301593,2.584188287908381
2.6320955356978395,2.580124855041504
2.640266052597319,2.5873293605717747
2.643394666559556,2.5956719463521782
2.63869597113041,2.588570080020211
2.631596477440251,2.5858831243081526
2.636122954775915,2.589260859922929
2.643381724882004,2.5905749093402517
2.628328513611308,2.584552277218212
2.62878048877277,2.5907900495962664
2.6379770299662715,2.5823770490559665
2.6343400118600986,2.581711221824993
2.626886910489758,2.579402143304998
2.625171488203356,2.5795193260366265
2.6270884589465986,2.5842652971094306
2.628001936256428,2.5834436254067854
2.6250664968319866,2.5849177024581214
