Train,Validation
4.247886608323783,4.0810626745224
4.095058714337362,4.0503341067921035
4.077327347777384,4.029968798160553
4.049848927256396,3.9885426976464013
4.029750298356157,3.963975900953466
4.010558147869451,3.958161375739358
4.012138509994273,3.9638384363868018
4.010913251915856,3.950157431038943
4.003296394787176,3.955365701155229
3.995396887249959,3.9541567618196662
3.993399849938005,3.9449542544104834
3.9946484858422635,3.9500440738417884
3.9955419305035527,3.948867532339963
3.9836762402673513,3.946409599347548
3.98468271362812,3.940013890916651
3.985750858741038,3.941092003475536
3.9789949237843,3.9390784176913174
3.9809985313269185,3.935153928670016
3.9767117658844384,3.9401075298135932
3.98454175885681,3.9425892396406694
3.982467686733626,3.931885459206321
3.9737461729122856,3.9343415119431238
3.9758388825389734,3.9314677065069024
3.9773234028340605,3.9326555132865906
3.9794234766069887,3.929805625568737
3.974645404254689,3.934476088393818
3.9659920214387157,3.9310894229195337
3.970896578200943,3.932527157393369
3.9750256812785896,3.936213319951838
3.971220335387208,3.9312454624609514
3.9716651817721784,3.9263935034925286
